example_id,type,n_components,expected_labels,weights,recommended_input,note,1H_peaklist,1H_vector,13C_peaklist,13C_vector
mix_ethanol_acetone,mixture,2,"ethanol, acetone","ethanol:0.55, acetone:0.45","peaklist first; if app still misses, try vector .npy version",recommended easy 2-component,examples/dataset_based/mixture_peaklists/mix_ethanol_acetone_1H_from_spectra_dataset_peaklist.csv,examples/dataset_based/mixture_vectors/mix_ethanol_acetone_1H_from_spectra_dataset_vector.npy,examples/dataset_based/mixture_peaklists/mix_ethanol_acetone_13C_from_spectra_dataset_peaklist.csv,examples/dataset_based/mixture_vectors/mix_ethanol_acetone_13C_from_spectra_dataset_vector.npy
mix_ethanol_ethyl_acetate,mixture,2,"ethanol, ethyl_acetate","ethanol:0.50, ethyl_acetate:0.50","peaklist first; if app still misses, try vector .npy version",recommended easy 2-component,examples/dataset_based/mixture_peaklists/mix_ethanol_ethyl_acetate_1H_from_spectra_dataset_peaklist.csv,examples/dataset_based/mixture_vectors/mix_ethanol_ethyl_acetate_1H_from_spectra_dataset_vector.npy,examples/dataset_based/mixture_peaklists/mix_ethanol_ethyl_acetate_13C_from_spectra_dataset_peaklist.csv,examples/dataset_based/mixture_vectors/mix_ethanol_ethyl_acetate_13C_from_spectra_dataset_vector.npy
mix_hexane_toluene,mixture,2,"hexane, toluene","hexane:0.55, toluene:0.45","peaklist first; if app still misses, try vector .npy version",recommended easy 2-component,examples/dataset_based/mixture_peaklists/mix_hexane_toluene_1H_from_spectra_dataset_peaklist.csv,examples/dataset_based/mixture_vectors/mix_hexane_toluene_1H_from_spectra_dataset_vector.npy,examples/dataset_based/mixture_peaklists/mix_hexane_toluene_13C_from_spectra_dataset_peaklist.csv,examples/dataset_based/mixture_vectors/mix_hexane_toluene_13C_from_spectra_dataset_vector.npy
mix_methanol_acetonitrile,mixture,2,"methanol, acetonitrile","methanol:0.55, acetonitrile:0.45","peaklist first; if app still misses, try vector .npy version","small molecules, 2-component",examples/dataset_based/mixture_peaklists/mix_methanol_acetonitrile_1H_from_spectra_dataset_peaklist.csv,examples/dataset_based/mixture_vectors/mix_methanol_acetonitrile_1H_from_spectra_dataset_vector.npy,examples/dataset_based/mixture_peaklists/mix_methanol_acetonitrile_13C_from_spectra_dataset_peaklist.csv,examples/dataset_based/mixture_vectors/mix_methanol_acetonitrile_13C_from_spectra_dataset_vector.npy
mix_ethanol_tetrahydrofuran,mixture,2,"ethanol, tetrahydrofuran","ethanol:0.50, tetrahydrofuran:0.50","peaklist first; if app still misses, try vector .npy version",2-component,examples/dataset_based/mixture_peaklists/mix_ethanol_tetrahydrofuran_1H_from_spectra_dataset_peaklist.csv,examples/dataset_based/mixture_vectors/mix_ethanol_tetrahydrofuran_1H_from_spectra_dataset_vector.npy,examples/dataset_based/mixture_peaklists/mix_ethanol_tetrahydrofuran_13C_from_spectra_dataset_peaklist.csv,examples/dataset_based/mixture_vectors/mix_ethanol_tetrahydrofuran_13C_from_spectra_dataset_vector.npy
mix_cyclohexane_benzene,mixture,2,"cyclohexane, benzene","cyclohexane:0.55, benzene:0.45","peaklist first; if app still misses, try vector .npy version","harder, simple spectra",examples/dataset_based/mixture_peaklists/mix_cyclohexane_benzene_1H_from_spectra_dataset_peaklist.csv,examples/dataset_based/mixture_vectors/mix_cyclohexane_benzene_1H_from_spectra_dataset_vector.npy,examples/dataset_based/mixture_peaklists/mix_cyclohexane_benzene_13C_from_spectra_dataset_peaklist.csv,examples/dataset_based/mixture_vectors/mix_cyclohexane_benzene_13C_from_spectra_dataset_vector.npy
mix_chloroform_dichloromethane,mixture,2,"chloroform, dichloromethane","chloroform:0.55, dichloromethane:0.45","peaklist first; if app still misses, try vector .npy version","hard, both simple one-peak-like spectra",examples/dataset_based/mixture_peaklists/mix_chloroform_dichloromethane_1H_from_spectra_dataset_peaklist.csv,examples/dataset_based/mixture_vectors/mix_chloroform_dichloromethane_1H_from_spectra_dataset_vector.npy,examples/dataset_based/mixture_peaklists/mix_chloroform_dichloromethane_13C_from_spectra_dataset_peaklist.csv,examples/dataset_based/mixture_vectors/mix_chloroform_dichloromethane_13C_from_spectra_dataset_vector.npy
mix_ethanol_acetone_ethyl_acetate,mixture,3,"ethanol, acetone, ethyl_acetate","ethanol:0.40, acetone:0.35, ethyl_acetate:0.25","peaklist first; if app still misses, try vector .npy version",recommended easy 3-component,examples/dataset_based/mixture_peaklists/mix_ethanol_acetone_ethyl_acetate_1H_from_spectra_dataset_peaklist.csv,examples/dataset_based/mixture_vectors/mix_ethanol_acetone_ethyl_acetate_1H_from_spectra_dataset_vector.npy,examples/dataset_based/mixture_peaklists/mix_ethanol_acetone_ethyl_acetate_13C_from_spectra_dataset_peaklist.csv,examples/dataset_based/mixture_vectors/mix_ethanol_acetone_ethyl_acetate_13C_from_spectra_dataset_vector.npy
mix_toluene_acetone_chloroform,mixture,3,"toluene, acetone, chloroform","toluene:0.40, acetone:0.35, chloroform:0.25","peaklist first; if app still misses, try vector .npy version",medium 3-component,examples/dataset_based/mixture_peaklists/mix_toluene_acetone_chloroform_1H_from_spectra_dataset_peaklist.csv,examples/dataset_based/mixture_vectors/mix_toluene_acetone_chloroform_1H_from_spectra_dataset_vector.npy,examples/dataset_based/mixture_peaklists/mix_toluene_acetone_chloroform_13C_from_spectra_dataset_peaklist.csv,examples/dataset_based/mixture_vectors/mix_toluene_acetone_chloroform_13C_from_spectra_dataset_vector.npy
mix_diethyl_ether_acetone_ethanol,mixture,3,"diethyl_ether, acetone, ethanol","diethyl_ether:0.40, acetone:0.30, ethanol:0.30","peaklist first; if app still misses, try vector .npy version",recommended 3-component,examples/dataset_based/mixture_peaklists/mix_diethyl_ether_acetone_ethanol_1H_from_spectra_dataset_peaklist.csv,examples/dataset_based/mixture_vectors/mix_diethyl_ether_acetone_ethanol_1H_from_spectra_dataset_vector.npy,examples/dataset_based/mixture_peaklists/mix_diethyl_ether_acetone_ethanol_13C_from_spectra_dataset_peaklist.csv,examples/dataset_based/mixture_vectors/mix_diethyl_ether_acetone_ethanol_13C_from_spectra_dataset_vector.npy
mix_tetrahydrofuran_dioxane_methanol,mixture,3,"tetrahydrofuran, dioxane, methanol","tetrahydrofuran:0.40, dioxane:0.30, methanol:0.30","peaklist first; if app still misses, try vector .npy version",harder oxygenated mixture,examples/dataset_based/mixture_peaklists/mix_tetrahydrofuran_dioxane_methanol_1H_from_spectra_dataset_peaklist.csv,examples/dataset_based/mixture_vectors/mix_tetrahydrofuran_dioxane_methanol_1H_from_spectra_dataset_vector.npy,examples/dataset_based/mixture_peaklists/mix_tetrahydrofuran_dioxane_methanol_13C_from_spectra_dataset_peaklist.csv,examples/dataset_based/mixture_vectors/mix_tetrahydrofuran_dioxane_methanol_13C_from_spectra_dataset_vector.npy
mix_dimethyl_sulfoxide_acetonitrile_nitromethane,mixture,3,"dimethyl_sulfoxide, acetonitrile, nitromethane","dimethyl_sulfoxide:0.40, acetonitrile:0.30, nitromethane:0.30","peaklist first; if app still misses, try vector .npy version","hard, simple spectra",examples/dataset_based/mixture_peaklists/mix_dimethyl_sulfoxide_acetonitrile_nitromethane_1H_from_spectra_dataset_peaklist.csv,examples/dataset_based/mixture_vectors/mix_dimethyl_sulfoxide_acetonitrile_nitromethane_1H_from_spectra_dataset_vector.npy,examples/dataset_based/mixture_peaklists/mix_dimethyl_sulfoxide_acetonitrile_nitromethane_13C_from_spectra_dataset_peaklist.csv,examples/dataset_based/mixture_vectors/mix_dimethyl_sulfoxide_acetonitrile_nitromethane_13C_from_spectra_dataset_vector.npy
mix_toluene_p_xylene_mesitylene,mixture,3,"toluene, p_xylene, mesitylene","toluene:0.40, p_xylene:0.30, mesitylene:0.30","peaklist first; if app still misses, try vector .npy version",hard aromatic alkylbenzene mixture,examples/dataset_based/mixture_peaklists/mix_toluene_p_xylene_mesitylene_1H_from_spectra_dataset_peaklist.csv,examples/dataset_based/mixture_vectors/mix_toluene_p_xylene_mesitylene_1H_from_spectra_dataset_vector.npy,examples/dataset_based/mixture_peaklists/mix_toluene_p_xylene_mesitylene_13C_from_spectra_dataset_peaklist.csv,examples/dataset_based/mixture_vectors/mix_toluene_p_xylene_mesitylene_13C_from_spectra_dataset_vector.npy
mix_anisole_acetophenone,mixture,2,"anisole, acetophenone","anisole:0.55, acetophenone:0.45","peaklist first; if app still misses, try vector .npy version",aromatic 2-component,examples/dataset_based/mixture_peaklists/mix_anisole_acetophenone_1H_from_spectra_dataset_peaklist.csv,examples/dataset_based/mixture_vectors/mix_anisole_acetophenone_1H_from_spectra_dataset_vector.npy,examples/dataset_based/mixture_peaklists/mix_anisole_acetophenone_13C_from_spectra_dataset_peaklist.csv,examples/dataset_based/mixture_vectors/mix_anisole_acetophenone_13C_from_spectra_dataset_vector.npy
mix_styrene_ethylbenzene,mixture,2,"styrene, ethylbenzene","styrene:0.50, ethylbenzene:0.50","peaklist first; if app still misses, try vector .npy version",aromatic 2-component,examples/dataset_based/mixture_peaklists/mix_styrene_ethylbenzene_1H_from_spectra_dataset_peaklist.csv,examples/dataset_based/mixture_vectors/mix_styrene_ethylbenzene_1H_from_spectra_dataset_vector.npy,examples/dataset_based/mixture_peaklists/mix_styrene_ethylbenzene_13C_from_spectra_dataset_peaklist.csv,examples/dataset_based/mixture_vectors/mix_styrene_ethylbenzene_13C_from_spectra_dataset_vector.npy
mix_methyl_acetate_methyl_formate,mixture,2,"methyl_acetate, methyl_formate","methyl_acetate:0.55, methyl_formate:0.45","peaklist first; if app still misses, try vector .npy version",ester/formate 2-component,examples/dataset_based/mixture_peaklists/mix_methyl_acetate_methyl_formate_1H_from_spectra_dataset_peaklist.csv,examples/dataset_based/mixture_vectors/mix_methyl_acetate_methyl_formate_1H_from_spectra_dataset_vector.npy,examples/dataset_based/mixture_peaklists/mix_methyl_acetate_methyl_formate_13C_from_spectra_dataset_peaklist.csv,examples/dataset_based/mixture_vectors/mix_methyl_acetate_methyl_formate_13C_from_spectra_dataset_vector.npy
mix_triethylamine_diethylamine,mixture,2,"triethylamine, diethylamine","triethylamine:0.55, diethylamine:0.45","peaklist first; if app still misses, try vector .npy version",amine 2-component,examples/dataset_based/mixture_peaklists/mix_triethylamine_diethylamine_1H_from_spectra_dataset_peaklist.csv,examples/dataset_based/mixture_vectors/mix_triethylamine_diethylamine_1H_from_spectra_dataset_vector.npy,examples/dataset_based/mixture_peaklists/mix_triethylamine_diethylamine_13C_from_spectra_dataset_peaklist.csv,examples/dataset_based/mixture_vectors/mix_triethylamine_diethylamine_13C_from_spectra_dataset_vector.npy
mix_acetic_acid_ethanol_ethyl_acetate,mixture,3,"acetic_acid, ethanol, ethyl_acetate","acetic_acid:0.34, ethanol:0.33, ethyl_acetate:0.33","peaklist first; if app still misses, try vector .npy version",acid/alcohol/ester 3-component,examples/dataset_based/mixture_peaklists/mix_acetic_acid_ethanol_ethyl_acetate_1H_from_spectra_dataset_peaklist.csv,examples/dataset_based/mixture_vectors/mix_acetic_acid_ethanol_ethyl_acetate_1H_from_spectra_dataset_vector.npy,examples/dataset_based/mixture_peaklists/mix_acetic_acid_ethanol_ethyl_acetate_13C_from_spectra_dataset_peaklist.csv,examples/dataset_based/mixture_vectors/mix_acetic_acid_ethanol_ethyl_acetate_13C_from_spectra_dataset_vector.npy
